flower_id,name_ko,name_en,scientific_name,is_main_candidate,focal,filler,line,foliage,airy,color_palette_primary,color_palette_alt,warm_cool,saturation,color_direction,bloom_size_cm,stem_length_cm,price_tier,vase_life_days,season_peak,availability_level,scent_strength,toxicity_pets,symbolism,mood_fit,occasions_fit,image_ref
1,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,,,,,,,,,,,,,,,,,Gerbera Daisy_빨강.jpg
2,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,,,,,,,,,,,,,,,,,Gerbera Daisy_주황.jpg
3,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,,,,,,,,,,,,,,,,,Gerbera Daisy_노랑.jpg
4,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,,,,,,,,,,,,,,,,,Gerbera Daisy_분홍.jpg
5,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,,,,,,,,,,,,,,,,,Gerbera Daisy_흰색.jpg
6,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,,,,,,,,,,,,,,,,,Gerbera Daisy_보라.jpg
7,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,,,,,,,,,,,,,,,,,Gerbera Daisy_살구.jpg
8,거베라,Gerbera Daisy,Gerbera × hybrida,1,1,0,0,0,0,,,,,,,,,,,,,,,,,Gerbera Daisy_핫핑크.jpg
9,마가렛,Marguerite Daisy,Argyranthemum frutescens,1,0,0,0,0,0,,,,,,,,,,,,,,,,,Marguerite Daisy_흰색.jpg
10,마가렛,Marguerite Daisy,Argyranthemum frutescens,1,0,0,0,0,0,,,,,,,,,,,,,,,,,Marguerite Daisy_분홍.jpg
11,마가렛,Marguerite Daisy,Argyranthemum frutescens,1,0,0,0,0,0,,,,,,,,,,,,,,,,,Marguerite Daisy_노랑.jpg
12,마가렛,Marguerite Daisy,Argyranthemum frutescens,1,0,0,0,0,0,,,,,,,,,,,,,,,,,Marguerite Daisy_연보라.jpg
13,마가렛,Marguerite Daisy,Argyranthemum frutescens,1,0,0,0,0,0,,,,,,,,,,,,,,,,,Marguerite Daisy_진분홍.jpg
14,수국,Hydrangea,Hydrangea macrophylla,1,0,0,0,0,0,,,,,,,,,,,,,,,,,Hydrangea_블루.jpg
15,수국,Hydrangea,Hydrangea macrophylla,1,0,0,0,0,0,,,,,,,,,,,,,,,,,Hydrangea_핑크.jpg
16,수국,Hydrangea,Hydrangea macrophylla,1,0,0,0,0,0,,,,,,,,,,,,,,,,,Hydrangea_화이트.jpg
17,수국,Hydrangea,Hydrangea macrophylla,1,0,0,0,0,0,,,,,,,,,,,,,,,,,Hydrangea_퍼플.jpg
18,수국,Hydrangea,Hydrangea macrophylla,1,0,0,0,0,0,,,,,,,,,,,,,,,,,Hydrangea_라임그린.jpg
19,수국,Hydrangea,Hydrangea macrophylla,1,0,0,0,0,0,,,,,,,,,,,,,,,,,Hydrangea_다색(그라데이션).jpg
20,스토크,Stock Flower,Matthiola incana,1,0,0,0,0,0,,,,,,,,,,,,,,,,,Stock Flower_퍼플.jpg
21,스토크,Stock Flower,Matthiola incana,1,0,0,0,0,0,,,,,,,,,,,,,,,,,Stock Flower_연보라.jpg
22,스토크,Stock Flower,Matthiola incana,1,0,0,0,0,0,,,,,,,,,,,,,,,,,Stock Flower_핑크.jpg
23,스토크,Stock Flower,Matthiola incana,1,0,0,0,0,0,,,,,,,,,,,,,,,,,Stock Flower_화이트.jpg
