image_id,image_url,mapped_template_id,dominant_colors,flower_keywords,style_tags,composition_type,price_range,seasonality,vector,korean_flower_name,color_korean,is_single_flower,is_bouquet,bouquet_style,seasonal_availability
IMG_001,/static/images/garden-peony/화이트.webp,TPL_GARDEN-PEONY_white,white,작약,color_white,Single,Standard,All,,작약,화이트,True,False,,All
IMG_002,/static/images/garden-peony/핑크.webp,TPL_GARDEN-PEONY_pink,pink,작약,color_pink,Single,Standard,All,,작약,핑크,True,False,,All
IMG_003,/static/images/bouvardia/화이트.webp,TPL_BOUVARDIA_white,white,부바르디아,color_white,Single,Standard,All,,부바르디아,화이트,True,False,,All
IMG_004,/static/images/stock-flower/퍼플.webp,TPL_STOCK-FLOWER_purple,purple,스토크,color_purple,Single,Standard,All,,스토크,퍼플,True,False,,All
IMG_005,/static/images/scabiosa/화이트.webp,TPL_SCABIOSA_white,white,스카비오사,color_white,Single,Standard,All,,스카비오사,화이트,True,False,,All
IMG_006,/static/images/scabiosa/블루.webp,TPL_SCABIOSA_blue,blue,스카비오사,color_blue,Single,Standard,All,,스카비오사,블루,True,False,,All
IMG_007,/static/images/drumstick-flower/옐로우.webp,TPL_DRUMSTICK-FLOWER_yellow,yellow,골든볼,color_yellow,Single,Standard,All,,골든볼,옐로우,True,False,,All
IMG_008,/static/images/dahlia/옐로우.webp,TPL_DAHLIA_yellow,yellow,다알리아,color_yellow,Single,Standard,All,,다알리아,옐로우,True,False,,All
IMG_009,/static/images/dahlia/핑크.webp,TPL_DAHLIA_pink,pink,다알리아,color_pink,Single,Standard,All,,다알리아,핑크,True,False,,All
IMG_010,/static/images/rose/레드.webp,TPL_ROSE_red,red,장미,color_red,Single,Standard,All,,장미,레드,True,False,,All
IMG_011,/static/images/rose/핑크.webp,TPL_ROSE_pink,pink,장미,color_pink,Single,Standard,All,,장미,핑크,True,False,,All
IMG_012,/static/images/lily/화이트.webp,TPL_LILY_white,white,백합,color_white,Single,Standard,All,,백합,화이트,True,False,,All
IMG_013,/static/images/marguerite-daisy/흰색.webp,TPL_MARGUERITE-DAISY_white,white,마가렛,color_white,Single,Standard,All,,마가렛,화이트,True,False,,All
IMG_014,/static/images/tulip/화이트.webp,TPL_TULIP_white,white,튤립,color_white,Single,Standard,All,,튤립,화이트,True,False,,All
IMG_015,/static/images/tulip/레드.webp,TPL_TULIP_red,red,튤립,color_red,Single,Standard,All,,튤립,레드,True,False,,All
IMG_016,/static/images/tulip/옐로우.webp,TPL_TULIP_yellow,yellow,튤립,color_yellow,Single,Standard,All,,튤립,옐로우,True,False,,All
IMG_017,/static/images/gerbera-daisy/노랑.webp,TPL_GERBERA-DAISY_yellow,yellow,거베라,color_yellow,Single,Standard,All,,거베라,옐로우,True,False,,All
IMG_018,/static/images/cockscomb/레드.webp,TPL_COCKSCOMB_red,red,맨드라미,color_red,Single,Standard,All,,맨드라미,레드,True,False,,All
IMG_019,/static/images/cotton-plant/화이트.webp,TPL_COTTON-PLANT_white,white,목화,color_white,Single,Standard,All,,목화,화이트,True,False,,All
IMG_020,/static/images/lisianthus/화이트.webp,TPL_LISIANTHUS_white,white,리시안셔스,color_white,Single,Standard,All,,리시안셔스,화이트,True,False,,All
IMG_021,/static/images/lisianthus/라벤더.webp,TPL_LISIANTHUS_lavender,lavender,리시안셔스,color_lavender,Single,Standard,All,,리시안셔스,라벤더,True,False,,All
IMG_022,/static/images/lisianthus/핑크.webp,TPL_LISIANTHUS_pink,pink,리시안셔스,color_pink,Single,Standard,All,,리시안셔스,핑크,True,False,,All
IMG_023,/static/images/babys-breath/화이트.webp,TPL_BABYS-BREATH_white,white,베이비스브레스,color_white,Single,Standard,All,,베이비스브레스,화이트,True,False,,All
IMG_024,/static/images/globe-amaranth/퍼플.webp,TPL_GLOBE-AMARANTH_purple,purple,천일홍,color_purple,Single,Standard,All,,천일홍,퍼플,True,False,,All
IMG_025,/static/images/hydrangea/핑크.webp,TPL_HYDRANGEA_pink,pink,수국,color_pink,Single,Standard,All,,수국,핑크,True,False,,All
BOUQ_001,/static/images/bouquets/romantic_rose_pink.webp,TPL_BOUQUET_ROMANTIC_ROSE,"pink,white","장미,작약,스토크","romantic,elegant,classic",Bouquet,Premium,All,,"장미,작약,스토크","핑크,화이트",False,True,로맨틱,All
BOUQ_002,/static/images/bouquets/modern_tulip_white.webp,TPL_BOUQUET_MODERN_TULIP,"white,yellow","튤립,거베라,골든볼","modern,fresh,clean",Bouquet,Standard,Spring,,"튤립,거베라,골든볼","화이트,옐로우",False,True,모던,Spring
BOUQ_003,/static/images/bouquets/elegant_lily_purple.webp,TPL_BOUQUET_ELEGANT_LILY,"purple,white","백합,리시안셔스,스카비오사","elegant,sophisticated,luxury",Bouquet,Premium,Summer,,"백합,리시안셔스,스카비오사","퍼플,화이트",False,True,고급스러운,Summer
BOUQ_004,/static/images/bouquets/cheerful_gerbera_mixed.webp,TPL_BOUQUET_CHEERFUL_GERBERA,"yellow,pink,orange","거베라,맨드라미,골든볼","cheerful,bright,energetic",Bouquet,Standard,All,,"거베라,맨드라미,골든볼","옐로우,핑크,오렌지",False,True,경쾌한,All
BOUQ_005,/static/images/bouquets/natural_cotton_white.webp,TPL_BOUQUET_NATURAL_COTTON,"white,brown","목화,마가렛,베이비스브레스","natural,rustic,cozy",Bouquet,Standard,Autumn,,"목화,마가렛,베이비스브레스","화이트,브라운",False,True,자연스러운,Autumn
