image_id,image_url,mapped_template_id,dominant_colors,flower_keywords,style_tags,composition_type,price_range,seasonality,vector
IMG_001,/static/images/garden-peony/화이트.webp,TPL_GARDEN-PEONY_white,white,garden-peony,color_white,Single,Standard,All,
IMG_002,/static/images/garden-peony/핑크.webp,TPL_GARDEN-PEONY_pink,pink,garden-peony,color_pink,Single,Standard,All,
IMG_003,/static/images/bouvardia/화이트.webp,TPL_BOUVARDIA_white,white,bouvardia,color_white,Single,Standard,All,
IMG_004,/static/images/stock-flower/퍼플.webp,TPL_STOCK-FLOWER_purple,purple,stock-flower,color_purple,Single,Standard,All,
IMG_005,/static/images/scabiosa/화이트.webp,TPL_SCABIOSA_white,white,scabiosa,color_white,Single,Standard,All,
IMG_006,/static/images/scabiosa/블루.webp,TPL_SCABIOSA_blue,blue,scabiosa,color_blue,Single,Standard,All,
IMG_007,/static/images/drumstick-flower/옐로우.webp,TPL_DRUMSTICK-FLOWER_yellow,yellow,drumstick-flower,color_yellow,Single,Standard,All,
IMG_008,/static/images/dahlia/옐로우.webp,TPL_DAHLIA_yellow,yellow,dahlia,color_yellow,Single,Standard,All,
IMG_009,/static/images/dahlia/핑크.webp,TPL_DAHLIA_pink,pink,dahlia,color_pink,Single,Standard,All,
IMG_010,/static/images/rose/레드.webp,TPL_ROSE_red,red,rose,color_red,Single,Standard,All,
IMG_011,/static/images/rose/핑크.webp,TPL_ROSE_pink,pink,rose,color_pink,Single,Standard,All,
IMG_012,/static/images/lily/화이트.webp,TPL_LILY_white,white,lily,color_white,Single,Standard,All,
IMG_013,/static/images/marguerite-daisy/흰색.webp,TPL_MARGUERITE-DAISY_white,white,marguerite-daisy,color_white,Single,Standard,All,
IMG_014,/static/images/tulip/화이트.webp,TPL_TULIP_white,white,tulip,color_white,Single,Standard,All,
IMG_015,/static/images/tulip/레드.webp,TPL_TULIP_red,red,tulip,color_red,Single,Standard,All,
IMG_016,/static/images/tulip/옐로우.webp,TPL_TULIP_yellow,yellow,tulip,color_yellow,Single,Standard,All,
IMG_017,/static/images/gerbera-daisy/노랑.webp,TPL_GERBERA-DAISY_yellow,yellow,gerbera-daisy,color_yellow,Single,Standard,All,
IMG_018,/static/images/cockscomb/레드.webp,TPL_COCKSCOMB_red,red,cockscomb,color_red,Single,Standard,All,
IMG_019,/static/images/cotton-plant/화이트.webp,TPL_COTTON-PLANT_white,white,cotton-plant,color_white,Single,Standard,All,
IMG_020,/static/images/lisianthus/화이트.webp,TPL_LISIANTHUS_white,white,lisianthus,color_white,Single,Standard,All,
IMG_021,/static/images/lisianthus/라벤더.webp,TPL_LISIANTHUS_lavender,lavender,lisianthus,color_lavender,Single,Standard,All,
IMG_022,/static/images/lisianthus/핑크.webp,TPL_LISIANTHUS_pink,pink,lisianthus,color_pink,Single,Standard,All,
IMG_023,/static/images/babys-breath/화이트.webp,TPL_BABYS-BREATH_white,white,babys-breath,color_white,Single,Standard,All,
IMG_024,/static/images/globe-amaranth/퍼플.webp,TPL_GLOBE-AMARANTH_purple,purple,globe-amaranth,color_purple,Single,Standard,All,
IMG_025,/static/images/hydrangea/핑크.webp,TPL_HYDRANGEA_pink,pink,hydrangea,color_pink,Single,Standard,All,
