source_file,eng_slug,color,storage_key,public_url
Baby’s Breath_화이트.jpg,babys-breath,화이트,babys-breath/화이트.webp,
Bouvardia_화이트.jpg,bouvardia,화이트,bouvardia/화이트.webp,
Cockscomb_레드.jpg,cockscomb,레드,cockscomb/레드.webp,
Cotton Plant_화이트.jpg.png,cotton-plant,화이트,cotton-plant/화이트.webp,
Dahlia_옐로우.jpg.png,dahlia,옐로우,dahlia/옐로우.webp,
Dahlia_핑크.jpg.png,dahlia,핑크,dahlia/핑크.webp,
Drumstick Flower_옐로우.jpg.png,drumstick-flower,옐로우,drumstick-flower/옐로우.webp,
Garden Peony_핑크.jpg,garden-peony,핑크,garden-peony/핑크.webp,
Garden Peony_화이트.jpg,garden-peony,화이트,garden-peony/화이트.webp,
Gerbera Daisy_노랑.png,gerbera-daisy,노랑,gerbera-daisy/노랑.webp,
Globe Amaranth_퍼플.jpg,globe-amaranth,퍼플,globe-amaranth/퍼플.webp,
Hydrangea_핑크.png,hydrangea,핑크,hydrangea/핑크.webp,
Lily_화이트.png,lily,화이트,lily/화이트.webp,
Lisianthus_라벤더.jpg,lisianthus,라벤더,lisianthus/라벤더.webp,
Lisianthus_핑크.jpg,lisianthus,핑크,lisianthus/핑크.webp,
Lisianthus_화이트.jpg,lisianthus,화이트,lisianthus/화이트.webp,
Marguerite Daisy_흰색.png,marguerite-daisy,흰색,marguerite-daisy/흰색.webp,
Rose_레드.jpg.png,rose,레드,rose/레드.webp,
Rose_핑크.jpg,rose,핑크,rose/핑크.webp,
Scabiosa_블루.jpg.png,scabiosa,블루,scabiosa/블루.webp,
Scabiosa_화이트.jpg.png,scabiosa,화이트,scabiosa/화이트.webp,
Stock Flower_퍼플.JPG,stock-flower,퍼플,stock-flower/퍼플.webp,
Tulip_레드.jpg,tulip,레드,tulip/레드.webp,
Tulip_옐로우.jpg,tulip,옐로우,tulip/옐로우.webp,
Tulip_화이트.jpg,tulip,화이트,tulip/화이트.webp,
